File Name	Date Last Modified	Latest Release Size
autogen-5.9.2-doc.tar.gz	2007-07-28	2.7M
autogen-5.9.2.tar.gz	2007-07-28	1.3M
autogen-5.9.3-doc.tar.gz	2007-10-07	2.7M
autogen-5.9.3.tar.gz	2007-10-07	1.3M
autogen-5.9.4-doc.tar.gz	2007-12-23	2.8M
autogen-5.9.4.tar.gz	2007-12-23	1.3M
autogen-5.9.5-doc.tar.gz	2008-05-24	2.8M
autogen-5.9.5.tar.gz	2008-05-24	1.2M
autogen-5.9.6-doc.tar.gz	2008-11-16	2.8M
autogen-5.9.6.tar.gz	2008-11-16	1.3M
autogen-5.9.7-doc.tar.gz	2008-12-31	2.8M
autogen-5.9.7.tar.gz	2008-12-31	1.3M
autogen-5.9.8-doc.tar.gz	2009-05-16	2.9M
autogen-5.9.8.tar.gz	2009-05-16	1.3M
autogen-5.9-doc.tar.gz	2007-02-18	2.7M
autogen-5.9.tar.gz	2007-02-18	1.3M
autogen-5.10.1.tar.gz	2010-03-03	1.3M
autogen-5.10.2-doc.tar.gz	2010-06-25	2.9M
autogen-5.10.2.tar.gz	2010-06-25	1.3M
autogen-5.11.1.tar.gz	2010-09-07	1.3M
autogen-5.11.2-doc.tar.gz	2010-11-16	3.1M
autogen-5.11.2.tar.gz	2010-11-16	1.3M
autogen-5.11.3-doc.tar.gz	2010-11-18	3.1M
autogen-5.11.3.tar.gz	2010-11-18	1.3M
autogen-5.11.4-doc.tar.gz	2010-12-08	3.1M
autogen-5.11.4.tar.gz	2010-12-08	1.3M
libopts-33.4.8.tar.gz	2010-12-08	130K
autogen-5.11.5-doc.tar.gz	2010-12-13	3.1M
autogen-5.11.5.tar.gz	2010-12-13	1.3M
libopts-33.4.8.tar.gz	2010-12-13	130K
autogen-5.11.6-doc.tar.gz	2011-02-17	3.2M
autogen-5.11.6.tar.gz	2011-02-17	1.3M
autogen-5.11.9.tar.gz	2011-05-06	1.3M
autogen-5.11-doc.tar.gz	2010-07-25	3.1M
autogen-5.11.tar.gz	2010-07-25	1.3M
autogen-5.12.tar.gz	2011-06-27	1.3M
autogen.info.tar.gz	2011-06-27	147K
autogen-5.13.tar.gz	2011-12-04	1.3M
autogen-5.14.tar.gz	2011-12-29	1.3M
autogen-5.15.tar.gz	2012-02-26	1.5M
autogen-5.16.1.tar.gz	2012-06-17	1.6M
autogen-5.16.2.tar.gz	2012-08-11	1.6M
autogen-5.16.tar.gz	2012-05-06	1.6M
autogen-5.17.1.tar.gz	2013-01-05	1.6M
autogen-5.17.2.tar.gz	2013-02-23	1.7M
autogen-5.17.3.tar.gz	2013-03-31	1.7M
autogen-5.17.4.tar.gz	2013-05-18	1.7M
autogen-5.17.tar.gz	2012-12-27	1.6M
libopts-37.0.12.tar.gz	2012-12-27	161K
autogen-5.18.1.tar.gz	2013-09-08	1.7M
autogen-5.18.2.tar.gz	2013-10-16	1.7M
autogen-5.18.3.tar.gz	2014-05-24	1.7M
autogen-5.18.4.tar.gz	2014-08-30	1.7M
autogen-5.18.5.tar.gz	2015-05-02	1.7M
autogen-5.18.6.tar.gz	2015-09-15	1.7M
autogen-5.18.9.tar.gz	2016-05-21	1.7M
autogen-5.18.10.tar.gz	2016-05-24	1.7M
autogen-5.18.12.tar.gz	2016-08-29	1.7M
autogen-5.18.14.tar.gz	2018-07-16	1.7M
autogen-5.18.16.tar.gz	2018-08-26	1.8M
autogen-5.18.tar.gz	2013-07-14	1.7M
automake-1.0.tar.gz	1996-06-08	179K
automake-1.2.tar.gz	1997-06-24	281K
automake-1.3.tar.gz	1998-04-06	305K
automake-1.4-p1.tar.gz	2001-05-08	358K
automake-1.4-p2.tar.gz	2001-05-24	359K
automake-1.4-p3.tar.gz	2001-06-07	366K
automake-1.4-p4.tar.gz	2001-06-10	367K
automake-1.4-p5.tar.gz	2001-07-15	368K
automake-1.4-p6.tar.gz	2002-07-27	366K
automake-1.4.tar.gz	1999-01-14	345K
automake-1.5.tar.gz	2001-08-23	515K
automake-1.6.1.tar.gz	2002-04-11	582K
automake-1.6.2.tar.gz	2002-06-14	592K
automake-1.6.3.tar.gz	2002-07-28	595K
automake-1.6.tar.gz	2002-03-06	575K
automake-1.7.1.tar.gz	2002-10-19	647K
automake-1.7.2.tar.gz	2002-12-05	661K
automake-1.7.3.tar.gz	2003-02-20	687K
automake-1.7.4.tar.gz	2003-04-23	695K
automake-1.7.5.tar.gz	2003-05-18	695K
automake-1.7.6.tar.gz	2003-07-10	697K
automake-1.7.7.tar.gz	2003-09-07	717K
automake-1.7.8.tar.gz	2003-10-06	719K
automake-1.7.9.tar.gz	2003-11-12	720K
automake-1.7.tar.gz	2002-09-25	642K
automake-1.8.1.tar.gz	2004-01-11	832K
automake-1.8.2.tar.gz	2004-01-12	833K
automake-1.8.3.tar.gz	2004-03-07	853K
automake-1.8.4.tar.gz	2004-04-25	855K
automake-1.8.5.tar.gz	2004-05-16	856K
automake-1.8.tar.gz	2003-12-10	887K
automake-1.9.1.tar.gz	2004-08-11	885K
automake-1.9.2.tar.gz	2004-09-19	919K
automake-1.9.3.tar.gz	2004-11-01	926K
automake-1.9.4.tar.gz	2004-12-18	943K
automake-1.9.5.tar.gz	2005-02-12	951K
automake-1.9.6.tar.gz	2005-07-10	962K
automake-1.9.tar.gz	2004-07-28	884K
automake-1.10.1.tar.gz	2008-01-21	1.2M
automake-1.10.2.tar.gz	2008-11-23	1.2M
automake-1.10.3.tar.gz	2009-12-08	1.2M
automake-1.10.tar.gz	2006-10-15	1.1M
automake-1.11.1.tar.gz	2009-12-08	1.3M
automake-1.11.2.tar.gz	2011-12-22	1.5M
automake-1.11.3.tar.gz	2012-02-01	1.5M
automake-1.11.4.tar.gz	2012-04-02	1.6M
automake-1.11.5.tar.gz	2012-04-13	1.6M
automake-1.11.6.tar.gz	2012-07-09	1.6M
automake-1.11.tar.gz	2009-05-17	1.3M
automake-1.12.1.tar.gz	2012-06-01	2.0M
automake-1.12.2.tar.gz	2012-07-09	2.0M
automake-1.12.3.tar.gz	2012-08-14	2.0M
automake-1.12.4.tar.gz	2012-09-18	2.0M
automake-1.12.5.tar.gz	2012-11-17	2.0M
automake-1.12.6.tar.gz	2012-12-15	2.0M
automake-1.12.tar.gz	2012-04-25	1.9M
automake-1.13.1.tar.gz	2013-01-01	2.0M
automake-1.13.2.tar.gz	2013-05-15	2.1M
automake-1.13.3.tar.gz	2013-06-03	2.1M
automake-1.13.4.tar.gz	2013-06-14	2.1M
automake-1.13.tar.gz	2012-12-28	2.0M
automake-1.14.1.tar.gz	2013-12-24	2.1M
automake-1.14.tar.gz	2013-06-21	2.1M
automake-1.15.1.tar.gz	2017-06-19	2.2M
automake-1.15.tar.gz	2015-01-05	2.1M
automake-1.16.1.tar.gz	2018-03-11	2.2M
automake-1.16.2.tar.gz	2020-03-21	2.2M
automake-1.16.3.tar.gz	2020-11-18	2.3M
automake-1.16.4.tar.gz	2021-07-26	2.3M
automake-1.16.5.tar.gz	2021-10-03	2.3M
automake-1.16.tar.gz	2018-02-25	2.2M
avl-1.4.0.tar.gz	1999-08-16	126K
avl-2.0.1.html.tar.gz	2004-03-29	1.1M
avl-2.0.1.tar.gz	2004-03-29	1.4M
avl-2.0.2.html.tar.gz	2004-12-29	1.7M
avl-2.0.2a.tar.gz	2004-12-29	2.6M
avl-2.0.3.html.tar.gz	2007-08-26	1.7M
avl-2.0.3.tar.gz	2007-08-26	1.8M
avl-2.0.tar.gz	2002-01-07	762K
ballandpaddle-0.7.1.tar.gz	2008-08-02	2.0M
ballandpaddle-0.8.0.tar.gz	2008-09-30	3.1M
ballandpaddle-0.8.1.tar.gz	2009-07-15	7.4M
barcode-0.90.tar.gz	1999-06-29	97K
barcode-0.91.tar.gz	1999-07-08	118K
barcode-0.92.tar.gz	1999-09-03	147K
barcode-0.93.tar.gz	1999-10-26	150K
barcode-0.94.tar.gz	1999-10-26	152K
barcode-0.95.tar.gz	2000-02-03	155K
barcode-0.96.tar.gz	2000-11-09	254K
barcode-0.97.tar.gz	2001-10-17	272K
barcode-0.98.tar.gz	2002-03-03	328K
barcode-0.99.tar.gz	2013-03-29	870K
bash-1.14.7.tar.gz	1996-08-29	1.4M
bash-2.0.tar.gz	1996-12-31	1.3M
bash-2.01.1.tar.gz	1997-10-02	1.3M
bash-2.01.tar.gz	1997-06-05	1.3M
bash-2.02.1.tar.gz	1998-07-23	1.4M
bash-2.02.tar.gz	1998-04-18	1.4M
bash-2.03.tar.gz	1999-02-19	1.5M
bash-2.04.tar.gz	2000-03-21	1.6M
bash-2.05.tar.gz	2001-04-09	1.7M
bash-2.05a.tar.gz	2001-11-16	1.7M
bash-2.05b.tar.gz	2002-07-17	1.9M
bash-3.0.16.tar.gz	2005-12-07	2.3M
bash-3.0.tar.gz	2004-08-03	2.3M
bash-3.1.tar.gz	2005-12-08	2.4M
bash-3.2.48.tar.gz	2009-03-17	2.4M
bash-3.2.57.tar.gz	2014-11-07	2.4M
bash-3.2.tar.gz	2006-10-11	2.4M
bash-4.0-rc1.tar.gz	2009-01-12	3.8M
bash-4.0.tar.gz	2009-02-20	5.9M
bash-4.1.tar.gz	2009-12-31	6.3M
bash-4.2.53.tar.gz	2014-11-07	6.7M
bash-4.2.tar.gz	2011-02-13	6.7M
bash-4.3.30.tar.gz	2014-11-07	7.6M
bash-4.3.tar.gz	2014-02-26	7.6M
bash-4.4-beta.tar.gz	2015-10-12	8.2M
bash-4.4-beta2.tar.gz	2016-07-11	8.5M
bash-4.4-rc1.tar.gz	2016-02-24	8.4M
bash-4.4-rc2.tar.gz	2016-08-22	8.5M
bash-4.4.12.tar.gz	2017-10-13	9.0M
bash-4.4.18.tar.gz	2018-01-30	9.0M
bash-4.4.tar.gz	2016-09-15	8.9M
bash-5.0-alpha.tar.gz	2018-05-22	9.6M
bash-5.0-beta.tar.gz	2018-09-17	9.6M
bash-5.0-beta2.tar.gz	2018-11-28	9.6M
bash-5.0-rc1.tar.gz	2018-12-20	9.7M
bash-5.0.tar.gz	2019-01-07	9.7M
bash-5.1-alpha.tar.gz	2020-06-16	9.9M
bash-5.1-beta.tar.gz	2020-09-09	9.9M
bash-5.1-rc1.tar.gz	2020-10-05	9.9M
bash-5.1-rc2.tar.gz	2020-11-03	9.9M
bash-5.1-rc3.tar.gz	2020-11-17	9.9M
bash-5.1.8.tar.gz	2021-06-15	10M
bash-5.1.12.tar.gz	2022-01-04	10M
bash-5.1.16.tar.gz	2022-01-04	10M
bash-5.1.tar.gz	2020-12-06	10M
bash-5.2-alpha.tar.gz	2022-01-20	10M
bash-5.2-beta.tar.gz	2022-04-13	10M
bash-5.2-rc1.tar.gz	2022-06-17	10M
bash-5.2-rc2.tar.gz	2022-07-25	10M
bash-5.2-rc3.tar.gz	2022-08-26	10M
bash-5.2-rc4.tar.gz	2022-09-09	10M
bash-5.2.9.tar.gz	2022-11-07	10M
bash-5.2.15.tar.gz	2022-12-13	10M
bash-5.2.21.tar.gz	2023-11-09	10M
bash-5.2.tar.gz	2022-09-26	10M
bash-doc-2.0.tar.gz	1996-12-31	933K
bash-doc-2.01.tar.gz	1997-06-05	940K
bash-doc-2.02.tar.gz	1998-04-18	1.0M
bash-doc-2.03.tar.gz	1999-02-19	1.0M
bash-doc-2.04.tar.gz	2000-03-21	887K
bash-doc-2.05.tar.gz	2001-04-09	860K
bash-doc-2.05a.tar.gz	2001-11-16	889K
bash-doc-2.05b.tar.gz	2002-07-17	1.7M
bash-doc-3.0.tar.gz	2004-08-03	1.9M
bash-doc-3.1.tar.gz	2005-12-08	2.0M
bash-doc-3.2.tar.gz	2006-10-11	2.1M
readline-5.0.5.tar.gz	2005-12-07	1.7M
readline-5.1.tar.gz	2005-12-08	1.9M
readline-7.0-beta.tar.gz	2015-10-12	2.8M
readline-7.0-beta2.tar.gz	2016-07-11	2.8M
readline-7.0-rc1.tar.gz	2016-02-24	2.8M
readline-7.0-rc2.tar.gz	2016-08-22	2.8M
bayonne-1.0.11.tar.gz	2003-08-15	9.7M
bayonne-1.2.7.tar.gz	2003-07-16	4.1M
bayonne-1.2.8.tar.gz	2003-07-19	4.4M
bayonne-1.2.13.tar.gz	2004-11-15	4.4M
bayonne-1.2.14.tar.gz	2005-01-24	4.6M
bayonne-1.2.14pl1.tar.gz	2005-01-26	4.6M
bayonne-1.2.14pl2.tar.gz	2005-01-27	4.6M
bayonne-1.2.15.tar.gz	2005-08-26	4.5M
bayonne-1.2.16.tar.gz	2006-05-27	4.4M
bayonne-2.99+3.0apionly1.tar.gz	2011-12-11	450K
bayonne-2.99+3.0apionly2.tar.gz	2011-12-18	456K
bayonne2-0.1.0.tar.gz	2005-06-06	486K
bayonne2-0.1.1.tar.gz	2005-06-06	6.3M
bayonne2-0.1.2.tar.gz	2005-06-10	6.3M
